"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,13000,4,3,1,1,2,2,2,5,3,1,1,2,2,1,1,1,0,1,1,1,1,2,1,3,0,1,0,4360,63740,10,2,1,2,2,0,0,0,0,0,0,0
8,0,8000,2,1,1,1,2,10,1,5,3,1,1,2,2,2,0,1,0,1,1,1,1,5,1,6,0,3,2,3926,87917,27,1,2,2,2,0,0,0,0,3,0,0
2,0,20000,4,3,1,2,1,5,1,1,2,1,0,2,2,1,2,2,1,1,1,2,0,3,0,3,0,2,1,0,146076,51,2,1,2,2,3,2,3,2,3,3,2
2,0,0,5,3,3,2,2,12,2,5,3,1,0,2,2,2,0,1,0,1,1,1,1,4,1,5,0,1,0,3902,35053,51,2,1,2,1,0,0,0,0,3,0,0
5,0,20000,5,2,1,1,2,12,1,5,3,1,0,2,2,1,1,2,1,1,1,2,0,3,0,3,0,1,0,0,178493.333333333,30,1,1,2,1,3,1,3,1,3,3,2
2,0,6000,4,2,1,2,2,1,1,5,3,1,2,2,2,1,0,2,2,2,0,2,0,2,2,4,0,2,1,13916,53204,32,1,2,2,2,2,1,0,0,3,0,0
5,0,6300,4,3,1,1,2,8,1,5,3,1,0,2,2,2,0,1,0,2,0,2,0,3,3,6,0,5,2,12077,38377,41,1,2,2,2,0,0,0,0,3,0,0
2,0,7000,2,1,1,1,2,12,1,5,3,2,0,2,2,2,0,1,0,2,0,2,0,1,0,1,0,0,1,0,13200,87,1,2,2,2,0,0,0,0,0,0,0
2,0,8000,4,3,1,1,2,10,2,5,3,1,0,2,2,2,0,2,1,2,0,1,1,3,1,4,0,3,1,1960,33460,6,2,1,2,2,0,0,0,0,0,0,0
8,0,0,4,2,1,1,2,7,2,5,3,1,0,2,2,2,0,1,0,1,1,1,1,3,1,4,0,1,2,8619.5,59082.5,15,1,2,2,2,2,1,0,0,3,0,0
10,0,15000,6,3,1,2,2,3,1,3,3,1,0,1,2,1,0,1,2,1,1,2,0,3,1,4,0,1,1,4428,135136,46,2,1,2,2,3,1,3,1,3,3,1
