"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,9000,4,1,1,1,2,9,1,1,3,1,0,2,2,1,2,2,1,2,0,1,1,2,0,2,0,1,0,0,68242,52,2,1,2,2,3,1,0,0,3,0,0
2,0,23000,4,3,1,2,1,5,1,3,1,1,0,1,2,1,3,0,0,1,2,2,0,3,1,4,0,2,1,4576,279514.333333333,15,2,2,1,1,3,2,9,2,3,0,0
8,0,20000,6,1,1,2,1,3,1,6,2,1,1,2,2,2,0,0,0,2,0,2,0,1,0,1,0,1,1,2180,40085,94,2,1,2,1,0,0,0,0,3,0,0
2,0,12000,3,1,1,1,2,6,2,1,3,1,1,2,2,1,1,0,0,2,0,2,0,2,0,2,0,1,2,4054,47054,70,2,1,2,2,9,1,0,0,3,0,0
4,0,0,5,3,3,1,2,10,2,5,3,1,0,2,1,2,0,1,0,1,1,1,1,2,2,4,0,2,0,13684.5,57886.5,45,2,1,2,2,0,0,0,0,3,0,0
5,0,13000,4,3,1,1,2,6,2,3,3,1,0,2,2,1,0,0,0,2,0,2,0,7,0,7,0,3,0,0,131192,22,2,1,2,1,0,0,0,0,3,0,0
8,0,8000,5,2,1,1,2,9,2,5,3,1,2,2,2,2,0,1,0,2,0,2,0,2,5,7,0,5,2,17645,27525,9,2,1,2,2,0,0,0,0,0,0,0
1,6200,12000,3,2,1,1,2,6,1,1,3,1,0,2,2,1,2,1,1,2,0,2,0,4,0,4,0,3,2,14193.6666666667,44970.6666666667,19,1,2,2,2,2,1,0,0,3,0,0
4,0,5000,5,3,1,1,2,9,1,1,3,1,0,2,2,2,0,1,0,2,0,1,1,2,1,3,0,2,1,3920,18890,13,2,1,2,2,1,1,0,0,0,0,0
5,0,17000,3,2,1,1,2,2,1,1,3,1,0,2,2,1,1,2,1,2,0,2,0,1,0,1,0,1,0,0,68333.3333333333,48,1,2,2,1,3,1,3,1,3,3,2
2,0,7000,2,1,1,1,2,2,1,6,3,1,0,2,2,2,0,0,0,2,0,2,0,2,0,2,0,1,2,4394,15394,64,2,2,2,2,0,0,0,0,3,0,0
2,0,9000,3,2,1,1,2,6,2,5,3,2,0,2,2,2,0,0,0,1,1,1,1,4,0,4,0,1,3,1951,47902,53,2,1,2,2,0,0,0,0,2,0,0
2,0,36510,5,3,1,3,2,5,1,2,3,1,0,2,2,1,0,2,2,1,1,2,0,3,2,5,0,2,2,9152,118440,16,2,2,1,2,3,2,2,2,3,0,0
5,0,10500,3,2,1,1,2,2,1,1,3,1,0,2,2,2,0,0,0,2,0,2,0,2,1,3,0,2,1,25000,25000,9,1,2,2,2,0,0,0,0,0,0,0
8,0,5000,2,1,1,1,2,6,2,6,3,2,1,2,2,2,0,1,0,2,0,2,0,1,2,3,0,1,0,7648.5,19368.5,3,2,1,2,2,0,0,0,0,0,0,0
1,19000,15000,3,3,1,1,2,6,2,1,3,1,0,1,2,1,1,1,1,1,1,1,1,3,2,5,0,2,0,7590,112627,42,2,1,2,2,1,1,0,0,3,0,0
5,0,9000,3,2,1,1,2,1,1,1,3,1,0,2,2,2,0,1,0,2,0,2,0,3,2,5,0,2,1,17734,65628,9,2,1,2,1,0,0,0,0,0,0,0
2,0,40000,7,3,1,2,2,5,1,1,1,1,0,2,2,1,1,2,1,1,2,2,0,2,2,4,0,1,0,8236,117972,45,2,1,2,1,3,2,3,2,3,3,2
2,0,10000,3,2,1,1,2,11,1,5,3,1,0,2,2,1,1,1,3,1,1,2,0,2,2,4,0,2,0,10166.5,103576.5,4,2,1,2,1,0,0,0,0,0,0,0
2,0,6000,4,2,1,1,2,7,1,5,3,1,0,2,2,1,1,0,0,1,1,1,1,2,1,3,0,1,0,795.5,53258.5,49,1,2,2,2,3,1,0,0,2,0,0
8,0,12000,4,3,1,1,2,3,1,3,3,1,1,2,2,2,1,2,1,2,0,2,0,2,0,2,0,1,1,2118,76436,46,2,1,2,2,3,1,3,1,3,3,2
2,0,8000,3,2,1,1,2,9,1,6,3,1,1,2,2,2,0,0,0,2,0,2,0,2,0,2,0,2,2,2027,20527,82,1,2,2,2,0,0,0,0,0,0,0
8,0,8000,4,3,1,1,2,7,2,5,3,2,3,2,2,1,0,0,0,2,0,2,0,3,2,5,0,5,1,7821.5,26948.5,5,1,2,2,2,0,0,0,0,0,0,0
5,0,18000,3,2,1,1,2,3,1,1,3,1,0,2,2,1,0,2,1,2,0,2,0,3,0,3,0,2,0,2271,87824.3333333333,21,1,2,2,2,3,1,2,1,3,0,0
2,0,25000,4,3,1,2,2,8,1,5,3,1,0,2,2,2,0,0,0,1,2,2,0,4,0,4,0,2,2,1951,137904,15,2,1,2,2,3,2,9,2,3,0,0
2,0,20000,6,3,1,2,2,10,1,5,3,1,1,1,2,1,4,2,1,1,1,2,0,1,2,3,0,3,0,18902,73853,9,2,1,2,1,0,0,0,0,0,0,0
1,12000,12000,4,3,1,2,2,11,1,5,3,1,0,2,2,1,1,2,1,1,1,1,1,3,0,3,0,1,0,0,115081,54,1,2,2,2,3,1,1,1,3,0,0
2,0,10000,2,2,1,1,2,6,2,1,3,1,1,2,2,2,0,1,0,1,1,2,0,3,0,3,0,1,2,6081,27041,66,2,1,2,2,0,0,0,0,3,0,0
2,0,6000,5,4,1,1,2,7,2,6,3,1,1,2,2,1,1,1,0,1,1,2,0,4,1,5,0,1,3,1951,34352,20,1,2,2,2,0,0,0,0,3,0,0
1,5700,0,4,3,3,1,2,10,2,5,3,1,0,2,2,1,2,2,3,1,1,2,0,4,0,4,0,2,1,0,63492.6666666667,21,1,2,2,2,3,2,3,2,3,3,3
2,0,16000,4,3,1,2,2,4,1,1,3,1,0,1,2,1,1,2,2,2,0,2,0,3,0,3,0,2,1,22214,100714,23,1,2,2,2,3,1,3,1,3,3,3
5,0,12000,3,2,1,1,2,8,2,5,3,1,0,2,2,1,1,2,2,1,1,1,1,2,2,4,0,3,0,3902,97804,0,2,1,2,1,0,0,0,0,0,0,0
2,0,10000,4,3,3,2,2,8,2,5,5,1,0,2,2,1,0,1,1,1,1,1,2,5,0,5,0,3,1,1963,96015,52,2,1,2,2,3,1,3,1,3,3,2
8,0,0,2,2,3,1,2,9,3,5,3,1,0,2,2,2,1,1,1,1,1,2,0,2,3,5,0,3,1,15180,62092,8,2,1,2,2,0,0,0,0,0,0,0
1,18000,25000,4,3,1,1,2,6,1,5,3,1,0,1,2,1,0,2,1,1,1,2,0,2,2,4,0,1,0,4064,119386,41,2,1,2,2,3,1,3,1,2,3,2
2,0,15000,5,3,1,1,2,1,1,1,3,1,0,2,2,1,1,2,1,1,1,2,0,3,0,3,0,1,0,0,109377,53,2,1,2,2,3,2,3,2,3,2,3
2,0,8000,4,2,1,1,2,10,2,1,3,1,0,1,2,1,2,2,2,1,1,2,0,3,0,3,0,1,3,3920,83920,61,2,1,2,2,3,1,1,1,3,0,0
2,0,5500,2,1,1,1,2,7,1,3,3,1,1,2,2,2,1,0,0,2,0,2,0,2,0,2,0,1,2,17235.3333333333,39235.3333333333,69,2,1,2,2,0,0,0,0,3,0,0
1,7800,16000,3,2,1,1,2,4,1,1,3,1,0,2,2,1,1,2,1,2,0,2,0,1,0,1,0,0,1,2288,42288,63,2,1,2,1,1,1,0,0,3,0,0
2,0,6000,2,1,1,1,2,7,1,1,3,2,0,2,2,1,0,1,0,1,1,2,0,1,0,1,0,1,0,0,42282,51,2,1,2,2,3,1,3,1,3,2,3
8,0,0,4,2,3,1,2,12,2,3,3,1,0,2,2,2,0,0,0,2,0,2,0,1,0,1,0,0,0,1960,33060,69,2,1,2,2,0,0,0,0,3,0,0
4,0,9000,3,2,1,1,2,1,1,5,3,1,0,2,2,2,0,1,0,1,1,1,1,3,2,5,0,1,0,6813,64055,39,1,2,2,2,0,0,0,0,3,0,0
8,0,10000,3,2,1,1,2,9,2,5,3,1,1,2,2,1,0,2,1,2,0,1,1,2,1,3,0,2,0,4755.5,59843.5,24,1,2,2,2,3,1,3,1,3,1,3
2,0,10000,4,3,1,1,2,12,1,5,3,1,0,2,2,1,1,2,1,1,1,1,1,3,0,3,0,2,1,0,65902,18,2,1,2,2,3,1,1,1,3,0,0
5,0,5500,2,1,1,1,2,9,1,5,3,1,1,2,2,2,0,0,0,2,0,2,0,2,0,2,0,1,1,2790,9290,17,1,2,2,2,2,1,0,0,3,0,0
2,0,12000,5,3,1,1,2,1,2,1,3,1,0,2,2,2,0,1,0,2,0,1,1,5,1,6,0,3,3,6642,48956,20,1,2,2,2,3,1,0,0,3,0,0
2,0,5800,5,3,1,1,2,7,2,3,3,2,1,2,2,1,0,1,0,1,1,1,1,4,2,6,0,2,0,3902,64361,57,1,2,2,2,0,0,0,0,3,0,0
8,0,8000,4,2,1,1,2,12,1,5,3,1,1,2,2,2,0,1,0,2,0,1,1,2,2,4,0,2,0,7428,34799,29,1,2,2,2,3,1,0,0,3,0,0
8,0,6000,2,2,1,1,2,6,3,1,3,1,1,2,2,2,0,0,0,2,0,2,0,5,1,6,0,2,2,6051,40751,63,2,2,2,2,1,1,0,0,3,0,0
2,0,0,3,2,3,1,2,9,2,1,3,1,0,2,2,1,2,2,1,1,2,1,1,2,0,2,0,0,0,20000,94920,19,2,1,2,2,2,1,0,0,3,0,0
2,0,10000,3,2,1,1,2,12,2,5,3,1,0,2,2,1,0,1,2,1,1,1,2,4,1,5,0,3,1,3000,100520,47,1,2,2,2,3,1,0,0,3,0,0
2,0,25000,5,2,1,2,2,5,1,1,3,1,0,1,2,1,3,2,3,1,1,2,0,1,0,1,0,0,0,0,249135.666666667,53,2,2,1,1,3,1,3,1,3,3,2
8,0,6000,2,1,1,1,2,6,2,1,3,1,1,2,2,1,0,0,0,2,0,2,0,2,0,2,0,1,0,0,46442,21,1,2,2,2,2,1,0,0,3,0,0
5,0,24000,3,2,1,1,2,4,1,6,3,1,0,2,2,1,0,1,1,2,0,2,0,3,2,5,0,2,0,4236,179190,34,2,1,2,2,3,2,3,2,3,3,2
2,0,9500,4,2,1,1,2,8,2,5,3,1,0,2,2,1,1,0,0,2,0,2,0,1,0,1,0,1,0,2032,31232,61,2,1,2,2,3,1,2,1,3,0,0
5,0,19000,6,3,1,2,2,6,2,5,3,1,0,2,1,1,0,2,1,2,0,2,0,5,1,6,0,5,3,8128,157692,77,2,1,2,1,3,1,0,0,3,0,0
8,0,5000,2,2,1,0,2,8,0,5,5,2,1,2,2,2,0,0,0,2,0,2,0,3,1,4,2,2,1,4738.16666666667,21173.1666666667,29,1,2,2,2,0,0,0,0,3,0,0
8,0,10000,3,2,1,1,2,10,2,5,3,1,0,2,2,1,0,1,0,2,0,1,1,3,2,5,0,2,2,8068,51085,14,2,1,2,2,2,1,0,0,0,0,0
2,0,10000,3,2,1,1,2,3,1,1,3,1,0,1,2,1,2,2,1,2,0,2,0,2,0,2,0,1,1,2214,63428,69,2,1,2,1,3,1,3,1,3,3,2
2,0,12000,4,3,1,1,2,12,1,5,3,1,2,2,2,1,3,1,3,1,1,1,1,3,0,3,0,2,1,0,148202,20,2,1,2,1,3,1,3,1,3,3,1
5,0,35000,6,2,1,1,1,5,1,1,3,1,0,1,2,1,3,2,2,1,1,2,0,2,1,3,0,2,0,0,80000,30,2,1,2,2,3,1,3,1,3,3,1
5,0,11000,4,3,1,1,2,12,1,6,3,1,0,2,2,2,0,0,0,1,1,1,1,3,1,4,0,2,1,4054,54191.3333333333,45,2,1,2,1,9,1,0,0,3,0,0
2,0,6000,3,3,1,1,2,8,2,5,3,1,2,2,2,2,0,0,0,2,0,2,0,4,0,4,0,2,3,4242,38878,45,1,2,2,2,0,0,0,0,3,0,0
2,0,25000,3,1,1,2,1,5,1,2,2,1,0,2,2,1,0,2,1,2,0,2,0,2,0,2,0,1,2,21288,107288,71,2,1,2,1,3,2,3,2,3,3,3
8,0,10000,4,3,1,1,2,6,2,5,3,1,0,2,2,1,1,2,1,1,1,1,2,3,0,3,0,1,1,1960,81438,53,2,1,2,1,2,1,0,0,3,0,0
2,0,20000,5,2,1,1,2,4,1,1,3,1,0,2,2,1,2,2,2,1,1,2,0,2,0,2,0,1,2,4576,47576,74,2,1,2,1,3,1,1,1,2,0,0
2,0,15000,3,2,1,1,2,8,1,5,3,1,0,2,2,2,0,2,1,1,1,2,0,3,0,3,0,2,2,2027,37984,39,1,2,2,2,3,1,9,1,3,0,0
2,0,15000,5,3,1,1,2,9,1,5,3,1,2,2,2,1,1,2,0,2,0,2,0,1,0,1,0,1,1,2955,17855,78,1,2,2,2,3,1,0,0,3,0,0
8,0,4000,2,2,1,1,2,7,2,5,3,2,1,2,2,2,0,0,0,2,0,2,0,2,1,3,0,1,0,795.5,25250.5,28,1,2,2,2,0,0,0,0,3,0,0
8,0,0,4,3,1,1,2,12,2,5,3,1,0,2,2,1,0,0,0,1,1,1,1,3,0,3,0,1,0,2017,80817,29,1,2,2,2,2,1,0,0,3,0,0
2,0,0,5,3,3,1,2,7,2,5,3,1,0,2,2,2,0,1,0,2,0,1,1,3,0,3,0,2,1,2032,31264,18,1,2,2,2,3,1,1,1,3,0,0
2,0,10000,4,3,1,1,2,2,2,6,3,1,0,2,2,2,0,2,1,1,1,2,0,4,0,4,2,1,1,4788,64152,42,2,1,2,2,1,1,0,0,3,0,0
1,1600,5000,4,3,1,1,2,11,2,5,3,2,1,2,2,2,0,1,0,2,0,1,1,7,2,9,0,4,3,9755,112302,13,1,2,2,2,1,1,0,0,0,0,0
8,0,10000,3,2,1,1,2,2,1,1,3,1,1,2,2,2,0,2,1,2,0,2,0,2,0,2,0,1,2,10428,32428,64,2,1,2,2,3,1,1,1,3,0,0
5,0,16900,2,1,1,1,2,5,1,6,3,1,0,2,2,1,0,0,0,2,0,2,0,1,0,1,0,1,0,0,57288,23,2,1,2,2,3,1,3,1,3,2,2
2,0,25000,9,5,1,6,1,6,2,5,1,1,0,1,1,1,5,2,3,1,4,2,0,4,1,5,0,3,3,75833.3333333333,376129.666666667,58,2,2,1,1,3,2,3,2,3,3,2
8,0,10000,4,3,1,2,2,8,1,5,3,1,1,2,2,1,0,0,0,2,0,1,1,3,1,4,0,4,2,12881,81461,12,2,1,2,2,9,2,0,0,0,0,0
2,0,25000,4,2,1,1,2,6,2,5,2,2,0,2,2,1,1,0,0,2,0,2,0,1,0,1,0,1,1,2027,44027,70,2,1,2,1,3,1,0,0,3,0,0
2,0,7000,3,2,1,1,2,9,2,6,3,2,1,2,2,2,0,0,0,2,0,1,1,2,0,2,0,1,1,5000,13000,64,1,2,2,2,0,0,0,0,3,0,0
2,0,28000,3,1,1,2,2,4,1,2,2,1,0,1,2,1,3,2,2,1,1,2,0,2,0,2,0,1,1,0,152193,68,2,1,2,2,0,0,0,0,2,0,0
8,0,12000,3,2,1,1,2,1,1,3,3,1,0,2,2,1,2,2,1,1,1,2,0,1,1,2,0,1,0,4220,79440,31,2,1,2,1,3,1,3,1,3,3,2
8,0,6500,3,2,1,1,2,11,2,5,3,2,0,2,2,2,0,1,0,2,0,2,0,2,0,2,0,1,0,0,10000,20,1,2,2,2,2,1,0,0,3,0,0
8,0,9500,4,4,1,1,2,8,2,5,3,1,1,2,2,1,0,1,0,2,0,2,0,2,4,6,0,3,0,8484,91026,47,1,2,2,2,0,0,0,0,3,0,0
2,0,11000,6,2,1,1,2,11,1,6,3,1,2,2,2,1,1,0,0,2,0,2,0,2,0,2,0,2,2,3926,70631,66,2,2,2,2,0,0,0,0,2,0,0
2,0,20000,3,2,1,1,2,3,1,3,3,1,0,1,2,1,1,2,1,1,1,2,0,3,0,3,0,1,0,0,106591,22,2,1,2,2,3,1,0,0,3,3,1
4,0,4000,2,2,1,0,2,2,0,1,1,2,1,1,2,2,0,1,0,2,0,2,0,3,3,6,0,4,2,5117,21825,18,1,2,2,2,3,1,0,0,3,0,0
2,0,5000,4,3,1,1,1,7,2,5,3,1,0,2,2,1,1,1,0,1,1,1,2,2,2,4,0,2,0,4054,68108,1,2,1,2,2,0,0,0,0,0,0,0
2,0,5000,2,1,1,1,2,7,2,5,5,2,0,2,2,2,0,0,0,2,0,2,0,2,1,3,0,1,1,2027,26196,20,1,2,2,2,3,1,0,0,3,0,0
1,18000,18000,3,2,1,1,2,4,1,1,3,1,0,2,2,1,0,2,1,2,0,2,0,2,0,2,0,2,0,0,40988,58,2,1,2,2,3,2,0,0,3,0,0
5,0,6500,3,2,1,1,2,1,1,3,3,1,0,2,2,2,0,0,0,1,1,2,0,2,1,3,0,1,0,0,39736,0,1,2,2,2,0,0,0,0,0,0,0
5,0,13700,5,3,1,1,2,3,1,3,3,1,0,2,2,1,0,1,0,1,1,2,0,3,1,4,0,2,1,6579,56772,33,2,1,2,1,0,0,0,0,3,0,0
5,0,9000,2,1,1,1,2,3,1,6,3,2,1,2,2,2,0,0,0,2,0,2,0,1,0,1,0,1,1,2271,28271,83,2,1,2,2,0,0,0,0,2,0,0
2,0,18000,4,3,1,1,2,4,1,1,3,1,0,1,2,1,2,2,2,2,0,2,0,1,0,1,0,1,1,29118,65118,77,2,1,2,1,3,1,3,1,3,3,3
2,0,13000,3,2,1,1,2,2,1,3,3,2,0,1,2,1,1,2,1,2,0,2,0,3,0,3,0,1,3,6591,41091,23,2,1,2,2,0,0,0,0,3,0,0
2,0,30000,2,1,1,2,1,5,1,3,3,1,0,1,2,1,1,0,0,1,2,2,0,2,0,2,0,1,2,2271,59271,75,2,1,2,1,3,1,3,1,3,3,2
2,0,30000,5,2,1,2,2,3,1,1,3,1,0,2,2,1,3,1,3,1,1,2,0,3,0,3,0,1,0,0,168036.333333333,28,2,1,2,1,3,2,3,2,3,3,1
2,0,8000,3,2,1,1,2,12,2,5,3,1,1,2,2,1,0,0,0,1,1,2,0,2,0,2,0,1,2,3902,28202,76,2,1,2,1,0,0,0,0,3,0,0
2,0,20000,5,1,1,2,1,7,1,1,3,1,1,2,1,1,1,2,0,1,1,2,0,1,0,1,0,1,1,20032,32532,72,2,1,2,1,3,1,0,0,2,0,0
8,0,25000,5,3,1,2,1,9,1,1,3,1,0,2,2,1,3,2,1,1,2,2,0,3,1,4,0,2,1,4034,348676,48,2,2,1,1,3,2,3,2,3,3,2
1,2500,6000,4,3,1,1,2,9,1,5,3,1,0,2,2,2,0,0,0,2,0,1,1,3,1,4,0,3,2,11330,66630,1,1,2,2,2,0,0,0,0,0,0,0
2,0,9000,3,2,1,1,2,12,1,5,3,1,0,2,2,1,0,0,0,2,0,2,0,2,0,2,0,2,0,0,36863,50,2,1,2,2,3,1,1,1,3,0,0
2,0,0,5,2,3,2,2,8,2,1,3,1,0,2,2,1,2,0,0,1,1,2,0,2,0,2,0,1,2,4054,35494,86,2,1,2,2,0,0,0,0,0,0,0
8,0,6500,2,2,1,1,2,8,2,3,3,1,1,2,2,2,0,1,0,2,0,2,0,2,0,2,0,2,2,4064,22414,39,1,2,2,2,3,1,0,0,3,0,0
5,0,10000,3,2,1,1,2,10,1,5,1,1,0,2,2,1,1,0,0,2,0,2,0,2,0,2,0,1,1,12027,52054,89,1,2,2,1,0,0,0,0,3,0,0
2,0,4500,3,2,1,1,2,8,2,5,3,1,1,2,2,2,1,1,1,1,2,1,1,3,3,6,0,2,1,19147,69183,47,1,2,2,2,0,0,0,0,3,0,0
2,0,0,4,2,1,1,2,10,2,5,3,1,0,2,2,2,0,0,0,1,1,1,1,2,0,2,0,1,1,4054,41751,66,1,2,2,2,0,0,0,0,3,0,0
6,0,0,4,2,3,1,2,10,2,5,3,1,1,2,2,1,0,1,0,1,1,1,1,3,2,5,0,2,0,8781.5,72015.5,35,2,1,2,2,0,0,0,0,3,0,0
2,0,6000,4,2,1,1,2,11,1,5,3,1,2,2,2,2,0,0,0,1,1,2,0,2,0,2,0,1,2,4242,26363,67,1,2,2,2,0,0,0,0,3,0,0
5,0,8500,3,1,1,1,2,9,1,3,3,1,1,2,2,1,0,2,1,2,0,2,0,2,0,2,0,1,1,1955,75410,69,2,1,2,2,3,1,2,1,3,0,0
2,0,6000,4,3,1,1,2,9,1,6,3,1,0,2,2,1,1,1,1,2,0,1,1,2,2,4,0,3,1,10580,35107,7,2,1,2,2,0,0,0,0,0,0,0
5,0,28000,6,3,1,2,2,2,1,3,1,1,1,1,1,1,1,2,4,1,1,2,0,5,0,5,0,3,2,4440,299950,22,2,1,2,1,3,2,3,2,1,3,3
2,0,8000,5,4,1,2,2,11,1,5,3,1,0,2,2,1,1,1,2,1,1,1,2,3,1,4,0,2,2,6363,56814.3333333333,11,1,2,2,2,0,0,0,0,0,0,0
2,0,0,4,1,3,1,2,10,2,5,3,1,0,2,2,2,0,0,0,1,1,2,0,2,0,2,0,1,0,2032,33564,56,1,2,2,2,0,0,0,0,3,0,0
2,0,50000,5,3,1,3,1,4,1,2,2,1,0,1,1,1,6,2,2,1,2,2,0,2,2,4,0,2,0,4576,399152,45,2,2,1,1,3,2,3,2,3,3,2
2,0,20000,5,3,1,1,2,9,1,3,2,1,2,2,2,1,3,2,1,1,2,2,0,4,1,5,0,3,3,8068,119285,76,2,1,2,1,3,1,3,1,3,2,3
8,0,12000,4,3,1,1,1,10,1,5,3,1,2,2,2,2,0,1,0,2,0,1,1,2,3,5,0,2,0,6648.5,55150.5,12,2,1,2,2,0,0,0,0,0,0,0
4,0,7000,2,1,1,1,2,1,1,3,3,1,0,2,2,1,1,2,1,2,0,1,1,2,1,3,0,2,1,4524,23401,38,2,1,2,1,3,1,0,0,3,0,0
2,0,0,6,4,3,1,2,12,2,5,3,1,0,2,2,2,0,1,0,1,1,1,1,6,2,8,0,5,2,12545,77945,61,1,2,2,2,0,0,0,0,3,0,0
2,0,8000,4,3,1,1,2,6,2,1,5,1,0,2,2,1,1,2,1,1,1,2,0,3,0,3,0,2,2,4242,53363,55,2,2,2,2,0,0,0,0,3,0,0
4,0,10000,4,2,1,1,2,1,2,3,3,1,1,2,2,1,0,1,0,1,1,2,0,2,3,5,0,4,1,17727,57098,7,2,1,2,2,0,0,0,0,3,0,0
2,0,15000,2,1,1,1,2,4,1,1,1,1,1,2,2,1,1,0,0,2,0,2,0,1,0,1,0,1,1,2262,27262,79,2,1,2,2,0,0,0,0,3,0,0
1,12000,20000,2,1,1,1,2,3,1,1,1,1,0,1,1,1,2,2,1,1,1,2,0,2,0,2,0,1,1,2271,96743.3333333333,67,2,1,2,1,3,1,3,1,3,3,2
1,13000,18000,4,2,1,1,2,6,1,5,3,1,1,2,2,1,0,1,0,2,0,2,0,2,3,5,0,4,0,8108,94851,17,2,1,2,2,3,1,0,0,3,0,0
5,0,21000,3,2,1,1,2,5,1,3,3,1,0,2,2,2,0,2,1,2,0,2,0,2,1,3,2,1,0,10902.6666666667,82020.6666666667,34,2,1,2,1,3,1,3,1,3,3,1
2,0,12000,2,1,1,1,2,6,2,3,3,1,2,2,2,2,0,0,0,2,0,2,0,2,0,2,0,1,0,0,34963,63,2,1,2,2,0,0,0,0,3,0,0
1,1500,10000,5,3,1,1,2,11,1,5,3,1,0,2,2,1,0,1,0,2,0,1,1,4,1,5,0,1,0,2027,67746,19,1,2,2,2,3,1,0,0,3,3,3
2,0,10000,4,3,1,2,2,11,1,5,3,1,1,1,2,1,2,2,2,1,1,1,1,3,0,3,0,2,0,0,48051,22,2,2,2,2,3,1,0,0,3,0,0
8,0,8000,2,1,1,1,2,12,1,5,3,1,0,2,2,2,0,1,0,2,0,2,0,2,0,2,0,1,1,4034,28234,67,2,1,2,2,0,0,0,0,2,0,0
8,0,12000,3,1,1,1,2,2,1,3,3,1,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,1,1,4542,17042,59,2,1,2,2,1,1,0,0,2,0,0
2,0,6000,2,2,1,1,2,2,2,6,3,1,1,2,2,2,0,1,0,2,0,1,1,3,2,5,0,3,2,10981.5,40601.5,3,2,1,2,1,0,0,0,0,0,0,0
2,0,0,4,3,1,1,2,8,2,5,3,1,0,2,2,1,0,2,1,1,1,2,0,2,1,3,0,0,1,4054,53881,16,2,1,2,2,3,1,0,0,3,0,0
1,8000,8000,4,2,1,1,2,7,1,1,3,1,0,2,2,1,1,2,1,1,1,1,1,2,1,3,0,1,0,1963,96689,36,2,2,2,2,3,1,3,1,3,3,3
5,0,3000,3,2,1,2,2,2,2,4,3,2,1,2,2,2,0,0,0,1,1,2,0,2,0,2,0,2,1,0,34073,87,1,2,2,2,0,0,0,0,3,0,0
2,0,7500,4,4,1,1,2,7,2,6,3,1,2,2,2,2,0,0,0,1,1,1,2,5,4,9,0,4,3,4681.5,57716.5,1,1,2,2,2,0,0,0,0,0,0,0
4,0,8000,4,2,1,1,2,10,2,5,3,1,0,2,2,1,1,2,1,1,1,1,1,2,0,2,0,1,0,1963,48426,39,2,1,2,2,1,1,0,0,3,0,0
4,0,8000,2,1,1,1,2,1,1,1,3,1,0,2,2,1,1,0,0,2,0,1,1,2,0,2,0,1,0,0,64576,47,2,1,2,2,2,1,0,0,3,0,0
6,0,5000,6,4,1,2,2,11,1,1,3,1,2,2,2,2,0,1,0,2,0,2,0,4,0,4,0,2,2,1951,40344,40,2,1,2,1,3,1,2,1,3,0,0
8,0,4000,3,2,1,1,2,9,2,5,3,1,0,2,2,2,0,1,0,2,0,1,1,2,1,3,0,2,1,1963,37806,13,1,2,2,2,1,1,0,0,0,0,0
5,0,5500,3,2,1,1,2,7,1,6,3,2,0,2,2,2,0,1,0,2,0,1,1,3,1,4,0,2,2,6081,34529.5,41,2,1,2,2,3,1,1,1,2,0,0
2,0,50000,5,3,1,3,1,5,1,2,2,1,0,1,2,1,2,2,3,1,2,2,0,2,2,4,0,3,0,26576,200735.333333333,10,2,2,1,1,0,0,0,0,0,0,0
2,0,25000,5,4,1,3,2,5,1,1,2,1,0,2,2,1,0,2,3,1,1,2,0,5,0,5,0,3,3,20970,346400,59,2,2,1,1,3,2,3,2,3,3,2
8,0,4000,5,2,1,1,2,7,1,3,3,2,1,2,2,1,0,0,0,2,0,1,1,2,0,2,0,1,0,0,52102,22,2,1,2,2,3,1,3,1,3,3,3
5,0,19000,3,2,1,1,2,4,1,3,3,1,0,2,2,1,0,1,2,2,0,2,0,2,0,2,0,1,0,0,90524,38,2,1,2,2,3,1,3,1,3,2,2
2,0,15000,5,3,1,1,2,4,1,1,3,1,1,1,2,1,2,2,3,1,1,2,0,2,1,3,0,1,0,2288,122264,46,2,1,2,2,3,1,3,1,3,3,2
5,0,22500,3,2,1,1,2,5,1,5,3,1,0,2,2,1,0,2,2,2,0,2,0,2,2,4,0,1,1,10786,68048,2,2,1,2,1,0,0,0,0,0,0,0
2,0,15000,3,2,1,1,2,3,1,3,3,1,0,2,2,1,0,2,0,2,0,2,0,2,0,2,0,2,1,2288,26576,50,2,1,2,1,3,1,0,0,3,0,0
2,0,15000,3,2,1,1,1,9,1,5,3,1,2,2,2,1,3,2,2,1,1,1,2,3,0,3,0,1,1,2027,80881,34,2,1,2,2,3,1,3,1,2,3,3
5,0,6000,2,1,1,1,2,6,2,6,3,2,0,2,2,2,0,2,1,2,0,2,0,2,1,3,0,1,1,10223.1,27355.1,20,2,1,2,2,1,1,0,0,3,0,0
8,0,12000,3,2,1,1,2,8,1,3,3,1,1,2,2,1,0,2,0,2,0,2,0,1,0,1,0,1,1,1960,29114,80,2,1,2,1,0,0,0,0,3,0,0
2,0,10000,3,2,1,1,2,1,1,5,3,1,2,2,2,2,1,2,1,2,0,2,0,4,0,4,0,1,1,4440,94880,30,2,1,2,2,3,1,0,0,3,0,0
